#
#   VizieR Astronomical Server vizier.u-strasbg.fr
#    Date: 2021-02-22T10:47:31 [V1.99+ (14-Oct-2013)]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	votable-version=1.99+ (14-Oct-2013)	
#INFO	-ref=VIZ60338a8c24f1	
#INFO	-out.max=unlimited	
#INFO	queryParameters=14	
#-oc.form=dec
#-out.max=unlimited
#-sort=_r
#-nav=cat:IX/10A&tab:{IX/10A/1rxs}&key:source=IX/10A/1rxs&HTTPPRM:&-out.max=50&-out.form=HTML Table&-out.add=_r&-out.add=_RAJ,_DEJ&-sort=_r&-oc.form=sexa&
#-c.eq=J2000
#-c.r=  2
#-c.u=arcmin
#-c.geom=r
#-source=IX/10A/1rxs
#-order=I
#-out=1RXS
#-out=RAJ2000
#-out=DEJ2000
#-out=Count
#

#RESOURCE=yCat_9010
#Name: IX/10A
#Title: ROSAT All-Sky Bright Source Catalogue (1RXS) (Voges+ 1999)
#Table	IX_10A_1rxs:
#Name: IX/10A/1rxs
#Title: The 1RXS catalogue
#Column	1RXS	(A16)	ROSAT All-Sky Survey Catalogue source name (1)	[ucd=meta.id;meta.main]
#Column	RAJ2000	(F9.5)	Right ascension (J2000), decimal degrees	[ucd=pos.eq.ra;meta.main]
#Column	DEJ2000	(F9.5)	Declination (J2000), decimal degrees	[ucd=pos.eq.dec;meta.main]
#Column	Count	(E9.2)	? Source countrate (4)	[ucd=phot.count;em.X-ray]
Name;deg;deg;ct/s
1RXS;RAJ2000;DEJ2000;Count
J000000.0-392902;000.00000;-39.48403; 1.31e-01
J000007.0+081653;000.02917;+08.28153; 1.87e-01
J000010.0-633543;000.04167;-63.59528; 1.90e-01
J000011.9+052318;000.04958;+05.38833; 2.64e-01
J000012.6+014621;000.05250;+01.77250; 8.11e-02
J000013.5+575628;000.05625;+57.94125; 1.18e-01
J000019.5-261032;000.08125;-26.17556; 1.18e-01
J000035.5-280553;000.14792;-28.09819; 7.20e-02
J000038.4+794037;000.16000;+79.67694; 1.01e-01
J000042.5+621034;000.17708;+62.17611; 1.59e-01
J000044.2-260521;000.18417;-26.08931; 1.15e-01
J000044.6-255030;000.18583;-25.84181; 5.04e-02
J000055.5+172346;000.23125;+17.39611; 6.48e-02
J000115.6+705535;000.31500;+70.92653; 6.85e-02
J000116.3-315041;000.31792;-31.84472; 5.67e-02
J000119.8+501659;000.33250;+50.28305; 8.07e-02
J000123.3+272241;000.34708;+27.37806; 6.55e-02
J000124.2+393648;000.35083;+39.61333; 5.38e-02
J000129.7-320837;000.37375;-32.14375; 1.37e-01
J000132.8+211339;000.38667;+21.22764; 9.07e-02
J000139.7-154038;000.41542;-15.67736; 9.00e-02
J000143.9+521246;000.43292;+52.21278; 8.36e-02
J000150.9+111705;000.46208;+11.28486; 7.75e-02
J000154.2-670749;000.47583;-67.13028; 2.42e-01
J000155.1+120323;000.47958;+12.05639; 7.08e-02
J000156.7-273748;000.48625;-27.63000; 6.74e-02
J000202.5-103030;000.51042;-10.50833; 6.10e-02
J000209.4+672503;000.53917;+67.41764; 9.76e-02
J000217.5-672713;000.57292;-67.45375; 9.20e-02
J000226.6+032105;000.61083;+03.35153; 2.26e-01
J000231.0+082931;000.62917;+08.49208; 7.71e-02
J000232.0+184125;000.63333;+18.69028; 5.42e-02
J000233.4-320017;000.63917;-32.00472; 5.26e-02
J000235.9-081518;000.64958;-08.25500; 7.90e-02
J000254.5-260339;000.72708;-26.06097; 1.33e-01
J000256.6+712207;000.73583;+71.36861; 8.47e-02
J000256.7+444027;000.73625;+44.67417; 7.05e-02
J000259.6+395743;000.74833;+39.96208; 5.67e-02
J000306.3-041932;000.77625;-04.32556; 7.72e-02
J000307.6-180550;000.78167;-18.09722; 3.19e-01
J000308.6+215728;000.78583;+21.95778; 9.64e-02
J000311.5-060521;000.79792;-06.08917; 1.97e-01
J000312.3-355541;000.80125;-35.92820; 5.21e-01
J000316.8-275627;000.82000;-27.94097; 1.13e-01
